ID	name	age	bonus rate for sale	phone
1	Jessica	72	0.024921734	
2	Olivia	30	0.070749046	
3	Hannah	52	0.054671673	
4	Emma	24	0.209749296	
5	Sophie	27	0.248860783	
6	Grace	54	0.240146566	
7	Ella	35	0.012598999	
8	Emily	64	0.279093175	
9	Sarah	38	0.161498143	
10	Georgia	19		472-2079
11	Charlotte	72		253-5384
12	Caitlin	23		253-4000
13	Samantha	22		253-3160
14	Paige	21		253-2900
15	Lucy	66		253-4700
16	Isabella	58		253-4200
17	Jack	46		253-2700
18	Samuel	56		253-2500
19	Thomas	58		253-6400
20	Benjamin	30		253-3400
21	James	43		253-2300
22	Jacob	42		253-1300
23	Liam	48		253-2000
24	Matthew	34		253-1800
25	Jade	27		253-3500
26	Kate	28		253-3700
27	Rebecca	36		253-6500
28	Zoe	33		253-1700
29	Jasmine	76		253-4100
30	Amelia	56		253-6200
31	Danielle	60		253-1200
32	Tayla	48		253-3200
33	Elizabeth	72		253-6000
34	Nikita	64		253-6900
35	Kayla	24		472-3939
36	Abigail	55		472-1224
37	Lauren	40		253-1400
38	Molly	46		253-3300
39	Ashleigh	46		253-1900
40	Mia	47		253-3100
41	Aaliyah	53		253-3800
42	Amber	74		253-1100
43	Katie	42		253-6300
44	Maddison	30		253-3900
45	Sophia	74	0.135514007	
46	Luke	51	0.256040655	
47	Logan	47	0.142635659	
48	Ryan	22	0.244143134	
49	Michael	37	0.027521144	
50	Jordan	80	0.094613168	
51	Jayden	65	0.077745027	
52	Joseph	53	0.127620621	
53	Alexander	55	0.022375247	
54	Max	33	0.260607704	
55	Brianna	63	0.201150961	
56	Alice	25	0.16219596	
57	Gemma	27	0.142189972	
58	Paris	44	0.011634076	
59	Megan	64	0.232320295	
60	Rachel	75	0.120503216	
61	William	72	0.212838768	
62	Caleb	63	0.02147757	
63	Luke	52	0.263132646	
64	Oliver	74	0.15052317	
65	Ryan	30	0.046221241	
66	Jayden	21	0.159777326	
67	Cameron	78	0.298651126	
68	Connor	67	0.202071822	
69	Logan	34	0.2835485	
70	Dylan	58	0.153639801	
71	Max	32	0.275149852	
72	Destiny	66	0.175348726	
73	Jemma	64	0.140661023	
74	Trinity	72	0.082390928
